staff_id,role,department_id,hospital_id,specialization,shift_type,employment_type,years_experience,on_roster
STF00194,Resident Doctor,DEP0017,HOSP01,General,Night,Intern,13.2,True
STF00195,Consultant,DEP0045,HOSP03,General,Rotating,Permanent,5.2,True
STF00196,Consultant,DEP0092,HOSP05,General,Night,Permanent,11.5,True
STF00197,Staff Nurse,DEP0006,HOSP01,-,Morning,Contract,10.1,True
STF00198,Support Staff,DEP0071,HOSP04,-,Morning,Contract,5.0,True
STF00199,Staff Nurse,DEP0094,HOSP05,-,Rotating,Contract,7.4,True
STF00200,Staff Nurse,DEP0007,HOSP01,-,Rotating,Permanent,8.4,True
STF00201,Lab Technician,DEP0027,HOSP02,-,Evening,Contract,7.6,True
STF00202,Consultant,DEP0067,HOSP04,General,Morning,Intern,11.3,False
STF00203,Staff Nurse,DEP0073,HOSP04,-,Morning,Contract,20.8,True
STF00204,Resident Doctor,DEP0025,HOSP02,General,Morning,Contract,18.6,True
STF00205,Staff Nurse,DEP0099,HOSP05,-,Morning,Permanent,6.7,True
STF00206,Staff Nurse,DEP0067,HOSP04,-,Morning,Permanent,1.3,False
STF00207,Staff Nurse,DEP0002,HOSP01,-,Morning,Contract,9.4,True
STF00208,Senior Nurse,DEP0064,HOSP03,-,Morning,Permanent,19.5,True
STF00209,Medical Officer,DEP0070,HOSP04,General,Evening,Contract,2.0,True
STF00210,Resident Doctor,DEP0071,HOSP04,Surgeon,Morning,Intern,12.2,True
STF00211,Staff Nurse,DEP0028,HOSP02,-,Night,Permanent,0.8,True
STF00212,Staff Nurse,DEP0008,HOSP01,-,Morning,Permanent,9.8,True
STF00213,Staff Nurse,DEP0035,HOSP02,-,Morning,Contract,5.3,True
STF00214,Staff Nurse,DEP0053,HOSP03,-,Morning,Contract,0.7,True
STF00215,Pharmacist,DEP0069,HOSP04,-,Rotating,Permanent,9.2,True
STF00216,Staff Nurse,DEP0023,HOSP02,-,Night,Contract,19.3,True
STF00217,Support Staff,DEP0028,HOSP02,-,Morning,Contract,7.6,True
STF00218,Senior Nurse,DEP0072,HOSP04,-,Evening,Permanent,9.3,True
STF00219,Radiology Technician,DEP0089,HOSP05,-,Evening,Permanent,3.2,True
STF00220,Senior Nurse,DEP0099,HOSP05,-,Morning,Permanent,4.6,False
STF00221,Support Staff,DEP0089,HOSP05,-,Evening,Visiting,7.6,True
STF00222,Consultant,DEP0071,HOSP04,Surgeon,Morning,Intern,10.9,True
STF00223,Staff Nurse,DEP0028,HOSP02,-,Evening,Permanent,6.7,True
STF00224,Medical Officer,DEP0051,HOSP03,Obstetrician,Rotating,Intern,7.0,True
STF00225,Senior Nurse,DEP0088,HOSP04,-,Morning,Permanent,11.2,True
STF00226,Medical Officer,DEP0098,HOSP05,Neurologist,Night,Permanent,4.6,True
STF00227,Support Staff,DEP0071,HOSP04,-,Evening,Visiting,2.6,True
STF00228,Senior Nurse,DEP0049,HOSP03,-,Rotating,Permanent,3.3,True
STF00229,Lab Technician,DEP0099,HOSP05,-,Morning,Permanent,2.0,True
STF00230,Staff Nurse,DEP0001,HOSP01,-,Rotating,Intern,3.1,True
STF00231,Staff Nurse,DEP0048,HOSP03,-,Evening,Permanent,6.6,True
STF00232,Consultant,DEP0024,HOSP02,Intensivist,Evening,Permanent,2.8,True
STF00233,Consultant,DEP0005,HOSP01,Surgeon,Morning,Permanent,2.6,True
STF00234,Staff Nurse,DEP0096,HOSP05,-,Morning,Permanent,16.6,True
STF00235,Medical Officer,DEP0102,HOSP05,General,Night,Permanent,22.7,True
STF00236,Staff Nurse,DEP0051,HOSP03,-,Evening,Intern,7.4,True
STF00237,Resident Doctor,DEP0049,HOSP03,Surgeon,Morning,Contract,3.9,True
STF00238,Senior Nurse,DEP0097,HOSP05,-,Rotating,Permanent,7.8,True
STF00239,Pharmacist,DEP0008,HOSP01,-,Night,Permanent,4.9,False
STF00240,Staff Nurse,DEP0094,HOSP05,-,Night,Visiting,10.2,True
STF00241,Support Staff,DEP0097,HOSP05,-,Morning,Permanent,3.5,True
STF00242,Medical Officer,DEP0054,HOSP03,Neurologist,Rotating,Permanent,4.3,True
STF00243,Staff Nurse,DEP0089,HOSP05,-,Rotating,Permanent,13.2,True
STF00244,Staff Nurse,DEP0100,HOSP05,-,Rotating,Permanent,5.4,True
STF00245,Senior Nurse,DEP0096,HOSP05,-,Rotating,Contract,5.1,True
STF00246,Radiology Technician,DEP0045,HOSP03,-,Morning,Visiting,7.6,False
STF00247,Staff Nurse,DEP0092,HOSP05,-,Rotating,Contract,4.6,False
STF00248,Lab Technician,DEP0023,HOSP02,-,Rotating,Contract,4.4,True
STF00249,Staff Nurse,DEP0093,HOSP05,-,Rotating,Contract,6.7,True
STF00250,Staff Nurse,DEP0049,HOSP03,-,Evening,Contract,7.8,False
STF00251,Staff Nurse,DEP0027,HOSP02,-,Morning,Contract,4.3,True
STF00252,Support Staff,DEP0017,HOSP01,-,Night,Permanent,9.9,True
STF00253,Support Staff,DEP0078,HOSP04,-,Night,Contract,7.0,True
STF00254,Medical Officer,DEP0005,HOSP01,Surgeon,Evening,Permanent,20.0,True
STF00255,Resident Doctor,DEP0079,HOSP04,General,Morning,Intern,17.4,True
STF00256,Consultant,DEP0075,HOSP04,Cardiologist,Morning,Intern,5.3,True
STF00257,Staff Nurse,DEP0046,HOSP03,-,Morning,Permanent,14.5,True
STF00258,Medical Officer,DEP0048,HOSP03,General,Rotating,Contract,3.4,True
STF00259,Support Staff,DEP0070,HOSP04,-,Evening,Permanent,16.3,True
STF00260,Staff Nurse,DEP0075,HOSP04,-,Morning,Permanent,6.1,True
STF00261,Staff Nurse,DEP0029,HOSP02,-,Rotating,Permanent,6.0,False
STF00262,Resident Doctor,DEP0057,HOSP03,General,Evening,Permanent,7.4,False
STF00263,Staff Nurse,DEP0093,HOSP05,-,Morning,Permanent,9.8,True
STF00264,Staff Nurse,DEP0070,HOSP04,-,Evening,Permanent,10.5,True
STF00265,Consultant,DEP0045,HOSP03,General,Evening,Visiting,8.0,True
STF00266,Consultant,DEP0069,HOSP04,General,Rotating,Permanent,6.2,True
STF00267,Staff Nurse,DEP0053,HOSP03,-,Morning,Contract,0.4,True
STF00268,Staff Nurse,DEP0094,HOSP05,-,Morning,Permanent,6.2,True
STF00269,Medical Officer,DEP0070,HOSP04,General,Rotating,Permanent,2.9,True
STF00270,Staff Nurse,DEP0013,HOSP01,-,Rotating,Permanent,10.9,True
STF00271,Staff Nurse,DEP0026,HOSP02,-,Evening,Contract,3.6,True
STF00272,Medical Officer,DEP0099,HOSP05,Nephrologist,Night,Permanent,7.2,True
STF00273,Staff Nurse,DEP0031,HOSP02,-,Morning,Permanent,10.6,True
STF00274,Radiology Technician,DEP0015,HOSP01,-,Morning,Visiting,2.8,True
STF00275,Staff Nurse,DEP0010,HOSP01,-,Rotating,Permanent,11.3,True
STF00276,Staff Nurse,DEP0074,HOSP04,-,Night,Contract,9.4,True
STF00277,Staff Nurse,DEP0078,HOSP04,-,Morning,Intern,3.9,True
STF00278,Senior Nurse,DEP0009,HOSP01,-,Morning,Contract,17.2,True
STF00279,Support Staff,DEP0089,HOSP05,-,Evening,Permanent,18.9,True
STF00280,Lab Technician,DEP0004,HOSP01,-,Morning,Permanent,6.9,True
STF00281,Resident Doctor,DEP0030,HOSP02,Pediatrician,Evening,Permanent,7.4,True
STF00282,Resident Doctor,DEP0045,HOSP03,General,Night,Contract,9.6,True
STF00283,Lab Technician,DEP0074,HOSP04,-,Morning,Permanent,12.2,True
STF00284,Resident Doctor,DEP0049,HOSP03,Surgeon,Evening,Intern,14.2,True
STF00285,Medical Officer,DEP0023,HOSP02,General,Morning,Permanent,12.5,False
STF00286,Senior Nurse,DEP0037,HOSP02,-,Morning,Contract,7.3,True
STF00287,Consultant,DEP0028,HOSP02,Orthopedic Surgeon,Evening,Permanent,7.6,True
STF00288,Medical Officer,DEP0025,HOSP02,General,Rotating,Permanent,5.9,False
STF00289,Staff Nurse,DEP0070,HOSP04,-,Evening,Permanent,3.6,True
STF00290,Consultant,DEP0053,HOSP03,Cardiologist,Night,Permanent,17.2,False
STF00291,Medical Officer,DEP0008,HOSP01,Pediatrician,Evening,Permanent,9.2,True
STF00292,Staff Nurse,DEP0089,HOSP05,-,Evening,Contract,9.3,True
STF00293,Staff Nurse,DEP0036,HOSP02,-,Rotating,Permanent,6.3,True
STF00294,Support Staff,DEP0068,HOSP04,-,Evening,Permanent,3.8,True
STF00295,Staff Nurse,DEP0004,HOSP01,-,Evening,Intern,21.0,True
STF00296,Resident Doctor,DEP0058,HOSP03,General,Morning,Permanent,17.0,False
STF00297,Consultant,DEP0007,HOSP01,Obstetrician,Morning,Permanent,6.6,True
STF00298,Resident Doctor,DEP0026,HOSP02,General,Rotating,Contract,5.5,True
STF00299,Consultant,DEP0048,HOSP03,General,Morning,Permanent,1.8,True
STF00300,Consultant,DEP0097,HOSP05,Cardiologist,Evening,Contract,1.0,True
STF00301,Consultant,DEP0106,HOSP05,General,Evening,Contract,9.3,True
STF00302,Consultant,DEP0004,HOSP01,General,Night,Permanent,11.5,True
STF00303,Support Staff,DEP0092,HOSP05,-,Evening,Intern,11.0,True
STF00304,Support Staff,DEP0067,HOSP04,-,Morning,Permanent,19.9,True
STF00305,Staff Nurse,DEP0093,HOSP05,-,Evening,Contract,2.3,True
STF00306,Resident Doctor,DEP0095,HOSP05,Obstetrician,Evening,Contract,5.9,True
STF00307,Resident Doctor,DEP0045,HOSP03,General,Morning,Visiting,8.8,True
STF00308,Resident Doctor,DEP0051,HOSP03,Obstetrician,Rotating,Permanent,1.3,True
STF00309,Support Staff,DEP0089,HOSP05,-,Evening,Permanent,9.7,True
STF00310,Staff Nurse,DEP0058,HOSP03,-,Morning,Permanent,3.6,True
STF00311,Staff Nurse,DEP0045,HOSP03,-,Morning,Contract,8.6,True
STF00312,Radiology Technician,DEP0049,HOSP03,-,Rotating,Contract,1.9,True
STF00313,Staff Nurse,DEP0051,HOSP03,-,Evening,Contract,4.3,True
STF00314,Support Staff,DEP0045,HOSP03,-,Morning,Permanent,6.3,True
STF00315,Resident Doctor,DEP0067,HOSP04,General,Rotating,Permanent,3.2,True
STF00316,Senior Nurse,DEP0052,HOSP03,-,Night,Contract,17.7,True
STF00317,Medical Officer,DEP0002,HOSP01,Intensivist,Evening,Permanent,3.4,True
STF00318,Support Staff,DEP0052,HOSP03,-,Evening,Permanent,10.9,True
STF00319,Staff Nurse,DEP0030,HOSP02,-,Evening,Visiting,2.5,True
STF00320,Medical Officer,DEP0007,HOSP01,Obstetrician,Evening,Permanent,2.9,False
STF00321,Staff Nurse,DEP0048,HOSP03,-,Rotating,Contract,6.1,True
STF00322,Medical Officer,DEP0033,HOSP02,Nephrologist,Evening,Contract,4.9,True
STF00323,Staff Nurse,DEP0006,HOSP01,-,Rotating,Contract,10.8,True
STF00324,Support Staff,DEP0027,HOSP02,-,Morning,Contract,9.6,False
STF00325,Support Staff,DEP0095,HOSP05,-,Evening,Contract,8.6,True
STF00326,Pharmacist,DEP0071,HOSP04,-,Rotating,Contract,27.8,False
STF00327,Staff Nurse,DEP0094,HOSP05,-,Rotating,Intern,12.9,True
STF00328,Lab Technician,DEP0070,HOSP04,-,Rotating,Permanent,6.9,True
STF00329,Pharmacist,DEP0071,HOSP04,-,Evening,Contract,15.0,True
STF00330,Consultant,DEP0074,HOSP04,Pediatrician,Night,Contract,7.1,True
STF00331,Medical Officer,DEP0098,HOSP05,Neurologist,Morning,Contract,5.9,True
STF00332,Staff Nurse,DEP0073,HOSP04,-,Morning,Permanent,13.8,True
STF00333,Staff Nurse,DEP0007,HOSP01,-,Evening,Contract,21.8,False
STF00334,Staff Nurse,DEP0051,HOSP03,-,Evening,Permanent,1.9,True
